exerciseCode,exerciseName,imageRole,sourcePage,sourceImage,author,license,licenseUrl,attributionRequired,localAssetPath,verificationStatus,notes
LEG-015,Abduzione anca con elastico,START,https://covidmove.umb.sk/wp-content/uploads/2025/01/PR3_Recommendations_SK_eng_compressed.pdf,https://covidmove.umb.sk/wp-content/uploads/2025/01/PR3_Recommendations_SK_eng_compressed.pdf#page=63,COVID Move / UMB,UNKNOWN,,UNKNOWN,,PENDING_REVIEW,"Testo pertinente nella sezione elastici; posizione esatta dell'elastico e fotografia da verificare."
CORE-003,Pallof press con elastico da seduto,START/END,https://www.acefitness.org/resources/pros/expert-articles/6474/5-core-exercises-to-improve-balance/,,ACE / Kelsey Graham,UNKNOWN,,UNKNOWN,,SEMANTIC_MISMATCH,"Il candidato trovato ̬ in piedi con cavo, non seduto con elastico come Forge."
CORE-003,Pallof press con elastico da seduto,START/END,,,,,,,,MISSING,"Nessuna fotografia verificata nel campione che soddisfi variante seduta, elastico e ancoraggio laterale."
LEG-001,Sit-to-stand assistito con mani,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/leg_001/start.jpg,APPROVED,"Asset originale fotorealistico; coppia IMMAGINI.2.1 rigenerata con END derivato da START; 1024x1024 JPEG quality 88."
LEG-001,Sit-to-stand assistito con mani,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/leg_001/end.jpg,APPROVED,"Asset originale fotorealistico; coppia IMMAGINI.2.1 rigenerata con START come riferimento; 1024x1024 JPEG quality 88."
LEG-012,Calf raise con appoggio,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/leg_012/start.jpg,APPROVED,"Asset originale fotorealistico; coppia IMMAGINI.2.1 rigenerata con END derivato da START; appoggio su sedia; 1024x1024 JPEG quality 88."
LEG-012,Calf raise con appoggio,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/leg_012/end.jpg,APPROVED,"Asset originale fotorealistico; coppia IMMAGINI.2.1 rigenerata con START come riferimento; talloni sollevati; 1024x1024 JPEG quality 88."
PUSH-009,Press isometrica palmo contro palmo,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/push_009/start.jpg,APPROVED,"Asset originale fotorealistico; coppia IMMAGINI.2.1 rigenerata con END derivato da START; palmi separati; 1024x1024 JPEG quality 88."
PUSH-009,Press isometrica palmo contro palmo,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/push_009/end.jpg,APPROVED,"Asset originale fotorealistico; coppia IMMAGINI.2.1 rigenerata con START come riferimento; palmi a contatto; 1024x1024 JPEG quality 88."
BACK-001,Band pull-apart leggero,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/back_001/start.jpg,APPROVED,"Asset originale fotorealistico; coppia IMMAGINI.2.1 rigenerata con END derivato da START; elastico davanti al petto; 1024x1024 JPEG quality 88."
BACK-001,Band pull-apart leggero,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/back_001/end.jpg,APPROVED,"Asset originale fotorealistico; coppia IMMAGINI.2.1 rigenerata con START come riferimento; elastico teso; 1024x1024 JPEG quality 88."
BACK-002,Rematore elastico seduto,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/back_002/start.jpg,APPROVED,"Asset originale fotorealistico; coppia IMMAGINI.2.1 rigenerata con END derivato da START; elastico ai piedi; 1024x1024 JPEG quality 88."
BACK-002,Rematore elastico seduto,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/back_002/end.jpg,APPROVED,"Asset originale fotorealistico; coppia IMMAGINI.2.1 rigenerata con START come riferimento; gomiti indietro; 1024x1024 JPEG quality 88."
SHO-006,Alzata laterale con manubri leggeri,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/sho_006/start.jpg,APPROVED,"Asset originale fotorealistico; coppia IMMAGINI.2.1 rigenerata con END derivato da START; manubri ai fianchi; 1024x1024 JPEG quality 88."
SHO-006,Alzata laterale con manubri leggeri,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/sho_006/end.jpg,APPROVED,"Asset originale fotorealistico; coppia IMMAGINI.2.1 rigenerata con START come riferimento; braccia a spalla; 1024x1024 JPEG quality 88."
MOB-012,Wall slide parziale,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/mob_012/start.jpg,APPROVED,"Asset originale fotorealistico; coppia IMMAGINI.2.1 rigenerata con END derivato da START; gomiti al muro; 1024x1024 JPEG quality 88."
MOB-012,Wall slide parziale,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/mob_012/end.jpg,APPROVED,"Asset originale fotorealistico; coppia IMMAGINI.2.1 rigenerata con START come riferimento; scorrimento parziale; 1024x1024 JPEG quality 88."
PUSH-001,Wall push-up alto,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/push_001/start.jpg,APPROVED,"Asset originale fotorealistico; coppia IMMAGINI.2.1 rigenerata con END derivato da START; mani al muro; 1024x1024 JPEG quality 88."
PUSH-001,Wall push-up alto,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/push_001/end.jpg,APPROVED,"Asset originale fotorealistico; coppia IMMAGINI.2.1 rigenerata con START come riferimento; petto vicino al muro; 1024x1024 JPEG quality 88."
MOB-001,Respirazione diaframmatica seduta,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/mob_001/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3.1; 1024x1024 JPEG quality 88."
MOB-001,Respirazione diaframmatica seduta,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/mob_001/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3.1; 1024x1024 JPEG quality 88."
MOB-013,Hip hinge assistito al muro,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/mob_013/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3.1; 1024x1024 JPEG quality 88."
MOB-013,Hip hinge assistito al muro,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/mob_013/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3.1; 1024x1024 JPEG quality 88."
LEG-002,Estensione ginocchio seduto controllata,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/leg_002/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3.1; 1024x1024 JPEG quality 88."
LEG-002,Estensione ginocchio seduto controllata,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/leg_002/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3.1; 1024x1024 JPEG quality 88."
LEG-007,Goblet squat con manubrio leggero,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/leg_007/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3.1; 1024x1024 JPEG quality 88."
LEG-007,Goblet squat con manubrio leggero,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/leg_007/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3.1; 1024x1024 JPEG quality 88."
LEG-018,Step-up basso assistito,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/leg_018/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3.1; 1024x1024 JPEG quality 88."
LEG-018,Step-up basso assistito,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/leg_018/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3.1; 1024x1024 JPEG quality 88."
PUSH-003,Push-up inclinato su supporto molto stabile,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/push_003/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3.1; 1024x1024 JPEG quality 88."
PUSH-003,Push-up inclinato su supporto molto stabile,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/push_003/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3.1; 1024x1024 JPEG quality 88."
PUSH-005,Chest press con elastico da seduto,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/push_005/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3.1; 1024x1024 JPEG quality 88."
PUSH-005,Chest press con elastico da seduto,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/push_005/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3.1; 1024x1024 JPEG quality 88."
BACK-003,Rematore elastico in piedi,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/back_003/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3.1; 1024x1024 JPEG quality 88."
BACK-003,Rematore elastico in piedi,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/back_003/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3.1; 1024x1024 JPEG quality 88."
BACK-004,Rematore con manubrio supportato,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/back_004/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3.1; 1024x1024 JPEG quality 88."
BACK-004,Rematore con manubrio supportato,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/back_004/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3.1; 1024x1024 JPEG quality 88."
SHO-002,Shoulder press seduto con manubri leggeri,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/sho_002/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3.1; 1024x1024 JPEG quality 88."
SHO-002,Shoulder press seduto con manubri leggeri,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/sho_002/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3.1; 1024x1024 JPEG quality 88."
ARM-001,Curl da seduto con elastico,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/arm_001/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3.1; 1024x1024 JPEG quality 88."
ARM-001,Curl da seduto con elastico,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/arm_001/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3.1; 1024x1024 JPEG quality 88."
CORE-003,Pallof press con elastico da seduto,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/core_003/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3.1; 1024x1024 JPEG quality 88."
CORE-003,Pallof press con elastico da seduto,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/core_003/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3.1; 1024x1024 JPEG quality 88."
CORE-005,Wall plank,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/core_005/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3.1; 1024x1024 JPEG quality 88."
CORE-005,Wall plank,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/core_005/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3.1; 1024x1024 JPEG quality 88."
BAL-007,Toe taps su target basso,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/bal_007/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3.1; 1024x1024 JPEG quality 88."
BAL-007,Toe taps su target basso,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/bal_007/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3.1; 1024x1024 JPEG quality 88."
STR-006,Posteriori coscia da seduto,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/str_006/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3.1; 1024x1024 JPEG quality 88."
STR-006,Posteriori coscia da seduto,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/str_006/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3.1; 1024x1024 JPEG quality 88."
CARD-004,Step touch laterale,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/card_004/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3.1; 1024x1024 JPEG quality 88."
CARD-004,Step touch laterale,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/card_004/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3.1; 1024x1024 JPEG quality 88."
MOB-002,Marcia da seduto,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/mob_002/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
MOB-002,Marcia da seduto,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/mob_002/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
MOB-003,Circonduzioni caviglia da seduto,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/mob_003/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
MOB-003,Circonduzioni caviglia da seduto,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/mob_003/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
MOB-004,Punta/tallone da seduto,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/mob_004/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
MOB-004,Punta/tallone da seduto,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/mob_004/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
MOB-006,Apertura/chiusura braccia da seduto,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/mob_006/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
MOB-006,Apertura/chiusura braccia da seduto,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/mob_006/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
MOB-007,Circonduzioni spalle,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/mob_007/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
MOB-007,Circonduzioni spalle,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/mob_007/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
MOB-008,Retrazione scapolare seduta,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/mob_008/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
MOB-008,Retrazione scapolare seduta,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/mob_008/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
MOB-009,Rotazione toracica seduta controllata,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/mob_009/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
MOB-009,Rotazione toracica seduta controllata,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/mob_009/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
MOB-014,Trasferimento del peso laterale con appoggio,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/mob_014/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
MOB-014,Trasferimento del peso laterale con appoggio,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/mob_014/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
LEG-003,Sit-to-stand senza mani,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/leg_003/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
LEG-003,Sit-to-stand senza mani,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/leg_003/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
LEG-004,Box squat a sedia,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/leg_004/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
